epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,113.22,1.58766,1.80827,1.15775,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.00186932,0.00186932,0.00186932
68,114.588,1.74483,2.13854,1.22358,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.00186734,0.00186734,0.00186734
69,115.904,1.76626,2.15956,1.25007,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.00186536,0.00186536,0.00186536
70,117.189,1.71077,1.74359,1.17167,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.00186338,0.00186338,0.00186338
71,118.523,1.74358,1.86139,1.19789,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.0018614,0.0018614,0.0018614
72,120.428,1.80959,1.86887,1.21182,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.00185942,0.00185942,0.00185942
73,122.57,1.69314,1.77226,1.20585,0.59564,0.45786,0.48309,0.22031,1.94647,2.54634,1.448,0.00185744,0.00185744,0.00185744
74,124.246,1.6464,1.86064,1.17384,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.00185546,0.00185546,0.00185546
75,126.248,1.62394,1.9823,1.19273,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.00185348,0.00185348,0.00185348
76,127.712,1.68678,1.73752,1.15475,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.0018515,0.0018515,0.0018515
77,129.064,1.61697,1.65676,1.13577,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.00184952,0.00184952,0.00184952
78,130.334,1.63571,1.78611,1.16912,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.00184754,0.00184754,0.00184754
79,131.625,1.60786,2.00779,1.19241,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.00184556,0.00184556,0.00184556
80,132.904,1.65489,1.76347,1.15251,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.00184358,0.00184358,0.00184358
81,134.864,1.61922,1.8359,1.20553,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.0018416,0.0018416,0.0018416
82,136.941,1.60732,1.81405,1.14968,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.00183962,0.00183962,0.00183962
83,138.448,1.63481,1.96905,1.19693,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.00183764,0.00183764,0.00183764
84,139.765,1.76175,1.83722,1.1703,0.42683,0.33784,0.34147,0.17345,1.9482,2.37989,1.42552,0.00183566,0.00183566,0.00183566
85,141.106,1.55788,1.60753,1.12069,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.00183368,0.00183368,0.00183368
